"window_id","time_start","time_end","dnb_index","mean_var_in","mean_cor_in","mean_cor_out","cluster_size"
1,1,8,2.3415568012238e-05,0.000139380138547206,-0.0138045005696339,-0.0821706823838292,5
2,2,9,6.4429081908559e-05,0.00014438464697144,-0.0393569830712429,-0.088198433661794,5
3,3,10,8.82148619146049e-05,0.000132125652550256,-0.0539642746240574,-0.0808261198210228,5
4,4,11,0.000278871031526466,0.000130854088189025,-0.096656003009951,-0.0453537001410004,5
5,5,12,0.000388990666004288,0.000128638016669477,-0.113839548933799,-0.0376463886494138,5
6,6,13,0.000243937760080161,0.000132316640373427,-0.0993502952852394,-0.0538895548107476,5
7,7,14,0.0005507196202638,0.000140281554292334,-0.164364404932259,-0.0418675735271373,5
8,8,15,0.000505916529348595,0.000146282328873851,-0.161598101269025,-0.0467249935985732,5
9,9,16,4.02681299554113e-05,0.000120951932952225,-0.0277069860909834,-0.0832224771226188,5
10,10,17,0.000242292649456543,0.000119060502761604,-0.11508140747968,-0.0565500037404196,5
11,11,18,-5.94918162347365e-05,0.000112445522274113,0.0658004746537053,-0.124369521836858,5
12,12,19,0.000179707626142526,0.000101080383428639,-0.0932304671076219,-0.0524394627248348,5
13,13,20,1.16880199624307e-06,0.000119582630747967,-0.00118722572144918,-0.121467601457639,5
14,14,21,-0.000105552075496042,0.000128947795819379,0.129657123356593,-0.158395751012408,5
15,15,22,0.000332106365288677,0.000132998210250896,-0.121941941741395,-0.0488339330443948,5
16,16,23,0.000378816472412752,0.000134121673124453,-0.129602900995573,-0.0458864890763498,5
17,17,24,0.000460558198663116,0.000135228774478522,-0.148187677978129,-0.0435107618189605,5
18,18,25,0.000701352871500146,0.000125384800389421,-0.17464652079935,-0.031222541517931,5
19,19,26,0.000505977313834102,0.000124981405768891,-0.145545217084411,-0.0359511095394926,5
20,20,27,0.000422682244438146,0.000114397698546369,-0.144169128587835,-0.0390189479896578,5
21,21,28,0.000280189529022256,0.000108845862133416,-0.13020319148798,-0.0505803292488695,5
22,22,29,-3.2391312788326e-06,0.000124948592084371,0.00272335050774448,-0.105052491672264,5
23,23,30,0.000167171969211974,0.000889680089053011,-0.0415672262381247,-0.221218507597579,5
24,24,31,0.00644254604427724,0.00928724804443392,-0.117799511525573,-0.169813808940171,5
25,25,32,-0.00163736235700813,0.013828291393567,0.0540217862783853,-0.456239267417581,5
26,26,33,-0.0013059758309482,0.0175798465238465,0.033149241716274,-0.446224629846997,5
27,27,34,0.00413141891815739,0.0282435476011778,-0.0555550777310244,-0.379790215774857,5
28,28,35,0.00892674814282957,0.0394025025203614,-0.0776323231246075,-0.342667649925347,5
29,29,36,0.016703842653732,0.0415822348334607,-0.116212643072997,-0.289297589486025,5
30,30,37,0.0384172532559974,0.0431035287197377,-0.172895090347169,-0.193985458632898,5
31,31,38,0.0792819629215956,0.0479084024318459,-0.206754455891167,-0.124937316287275,5
32,32,39,0.155091902299644,0.0486548850439953,-0.210858128224679,-0.066149668920447,5
33,33,40,0.162290348311165,0.0472195410707124,-0.205997656219166,-0.059936495851628,5
34,34,41,0.0950840683530842,0.0522478704570667,-0.178475371191283,-0.0980706677290232,5
35,35,42,0.0774537163833317,0.0479664541028061,-0.158592783526538,-0.0982152158382299,5
36,36,43,0.0242527130000333,0.0444905596163297,-0.118398689604613,-0.217197307300924,5
37,37,44,0.0260338091396758,0.0469966243887245,-0.133331371930283,-0.240691800889451,5
38,38,45,0.0275394543529424,0.0421215768790605,-0.154164044083081,-0.235793801562323,5
39,39,46,0.0523155734018971,0.0526286180178634,-0.192223697864028,-0.193373921206038,5
40,40,47,0.0644249780819354,0.0503585046174721,-0.157736203159346,-0.123296267249639,5
41,41,48,0.123884651523042,0.0707954626242198,-0.183443757388829,-0.104831272560441,5
42,42,49,0.0930588986647323,0.0597270834226871,-0.174196476055131,-0.111802821724409,5
43,43,50,0.119668987267939,0.0545036837878658,-0.182039013041261,-0.082910343192269,5
